"STATION","DATE","TAVG","TMAX","TMIN"
"USW00023293","2021-01-01",,"63","39"
"USW00023293","2021-01-02",,"58","47"
"USW00023293","2021-01-03",,"57","50"
"USW00023293","2021-01-04",,"61","45"
"USW00023293","2021-01-05",,"57","41"
"USW00023293","2021-01-06",,"62","36"
"USW00023293","2021-01-07",,"60","40"
"USW00023293","2021-01-08",,"61","46"
"USW00023293","2021-01-09",,"62","39"
"USW00023293","2021-01-10",,"63","37"
"USW00023293","2021-01-11",,"63","40"
"USW00023293","2021-01-12",,"63","45"
"USW00023293","2021-01-13",,"70","44"
"USW00023293","2021-01-14",,"71","45"
"USW00023293","2021-01-15",,"69","42"
"USW00023293","2021-01-16",,"71","45"
"USW00023293","2021-01-17",,"78","44"
"USW00023293","2021-01-18",,"78","51"
"USW00023293","2021-01-19",,"68","49"
"USW00023293","2021-01-20",,"69","40"
"USW00023293","2021-01-21",,"65","38"
"USW00023293","2021-01-22",,"52","45"
"USW00023293","2021-01-23",,"56","40"
"USW00023293","2021-01-24",,"52","37"
"USW00023293","2021-01-25",,"53","44"
"USW00023293","2021-01-26",,"52","32"
"USW00023293","2021-01-27",,"52","46"
"USW00023293","2021-01-28",,"51","46"
"USW00023293","2021-01-29",,"56","41"
"USW00023293","2021-01-30",,"62","41"
"USW00023293","2021-01-31",,"66","47"
"USW00023293","2021-02-01",,"64","46"
"USW00023293","2021-02-02",,"61","46"
"USW00023293","2021-02-03",,"59","41"
"USW00023293","2021-02-04",,"61","44"
"USW00023293","2021-02-05",,"70","39"
"USW00023293","2021-02-06",,"71","40"
"USW00023293","2021-02-07",,"68","39"
"USW00023293","2021-02-08",,"61","39"
"USW00023293","2021-02-09",,"63","49"
"USW00023293","2021-02-10",,"63","44"
"USW00023293","2021-02-11",,"61","43"
"USW00023293","2021-02-12",,"61","48"
"USW00023293","2021-02-13",,"61","48"
"USW00023293","2021-02-14",,"57","41"
"USW00023293","2021-02-15",,"62","50"
"USW00023293","2021-02-16",,"57","42"
"USW00023293","2021-02-17",,"64","39"
"USW00023293","2021-02-18",,"68","37"
"USW00023293","2021-02-19",,"66","49"
"USW00023293","2021-02-20",,"60","46"
"USW00023293","2021-02-21",,"64","39"
"USW00023293","2021-02-22",,"72","43"
"USW00023293","2021-02-23",,"79","45"
"USW00023293","2021-02-24",,"72","43"
"USW00023293","2021-02-25",,"68","46"
"USW00023293","2021-02-26",,"63","40"
"USW00023293","2021-02-27",,"63","42"
"USW00023293","2021-02-28",,"68","40"
"USW00023293","2021-03-01",,"70","43"
"USW00023293","2021-03-02",,"67","40"
"USW00023293","2021-03-03",,"70","46"
"USW00023293","2021-03-04",,"67","42"
"USW00023293","2021-03-05",,"67","42"
"USW00023293","2021-03-06",,"59","46"
"USW00023293","2021-03-07",,"62","38"
"USW00023293","2021-03-08",,"61","42"
"USW00023293","2021-03-09",,"61","43"
"USW00023293","2021-03-10",,"53","42"
"USW00023293","2021-03-11",,"57","43"
"USW00023293","2021-03-12",,"66","38"
"USW00023293","2021-03-13",,"59","42"
"USW00023293","2021-03-14",,"59","46"
"USW00023293","2021-03-15",,"54","42"
"USW00023293","2021-03-16",,"60","37"
