"STATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00026850","2021-01-01","20.1","B,,S","10.0",",,S","1.3","H,,S","2.1",",,S",,
"BOM00026850","2021-01-02",,,"20.0",",,S","-0.4","H,,S",,,"-1.2",",,S"
"BOM00026850","2021-01-03","3.8","B,,S","30.0",",,S","0.2","H,,S","0.5",",,S","-0.3",",,S"
"BOM00026850","2021-01-04","2.3","B,,S","41.0",",,S","0.7","H,,S","1.1",",,S","0.3",",,S"
"BOM00026850","2021-01-05",,,"20.0",",,S","0.2","H,,S","1.0",",,S",,
"BOM00026850","2021-01-06","1.8","B,,S","30.0",",,S","-1.2","H,,S","-0.9",",,S","-1.8",",,S"
"BOM00026850","2021-01-07","3.0","B,,S","30.0",",,S","-0.7","H,,S","-0.3",",,S","-1.2",",,S"
"BOM00026850","2021-01-08","13.0","B,,S","150.0",",,S","-1.9","H,,S",,,,
"BOM00026850","2021-01-09","6.1","B,,S","231.0",",,S","-2.5","H,,S","-1.9",",,S","-3.2",",,S"
"BOM00026850","2021-01-10","0.0","B,,S","239.0",",,S","-3.3","H,,S",,,"-3.9",",,S"
"BOM00026850","2021-01-11",,,"231.0",",,S","-3.4","H,,S","-2.0",",,S","-4.8",",,S"
"BOM00026850","2021-01-12",,,"221.0",",,S","-2.9","H,,S",,,"-6.2",",,S"
"BOM00026850","2021-01-13",,,"201.0",",,S","-3.1","H,,S",,,,
"BOM00026850","2021-01-14","1.8","B,,S","221.0",",,S","-8.3","H,,S",,,,
"BOM00026850","2021-01-15","2.0","B,,S","249.0",",,S","-15.3","H,,S",,,,
"BOM00026850","2021-01-16","0.3","B,,S","239.0",",,S","-20.6","H,,S","-17.5",",,S",,
"BOM00026850","2021-01-17",,,"221.0",",,S","-19.2","H,,S","-15.8",",,S","-25.0",",,S"
"BOM00026850","2021-01-18",,,"211.0",",,S","-19.6","H,,S","-12.4",",,S","-24.6",",,S"
"BOM00026850","2021-01-19","0.5","B,,S","201.0",",,S","-11.3","H,,S","-8.0",",,S","-19.1",",,S"
"BOM00026850","2021-01-20","0.3","B,,S","201.0",",,S","-12.4","H,,S",,,"-18.4",",,S"
"BOM00026850","2021-01-21",,,"221.0",",,S","-1.2","H,,S","1.1",",,S","-10.7",",,S"
"BOM00026850","2021-01-22",,,"201.0",",,S","-1.1","H,,S","1.5",",,S","-3.0",",,S"
"BOM00026850","2021-01-23",,,"201.0",",,S","1.6","H,,S","6.1",",,S","-2.3",",,S"
"BOM00026850","2021-01-24",,,"191.0",",,S","0.7","H,,S","2.5",",,S","-0.5",",,S"
"BOM00026850","2021-01-25","2.8","B,,S","160.0",",,S","1.7","H,,S","2.8",",,S",,
"BOM00026850","2021-01-26","32.0","B,,S","119.0",",,S","1.2","H,,S","3.9",",,S",,
"BOM00026850","2021-01-27","9.9","B,,S","201.0",",,S","-0.2","H,,S","0.4",",,S","-0.8",",,S"
"BOM00026850","2021-01-28",,,"221.0",",,S","-1.2","H,,S",,,,
"BOM00026850","2021-01-29",,,"231.0",",,S","-3.7","H,,S",,,"-4.0",",,S"
"BOM00026850","2021-01-30",,,,,"-3.9","H,,S","-2.8",",,S",,
"BOM00026850","2021-01-31","0.5","B,,S","211.0",",,S","-3.3","H,,S","-2.4",",,S","-4.6",",,S"
"BOM00026850","2021-02-01",,,"211.0",",,S","-7.7","H,,S","-3.6",",,S",,
"BOM00026850","2021-02-02",,,"201.0",",,S","-8.1","H,,S",,,"-16.0",",,S"
"BOM00026850","2021-02-03",,,,,"-0.7","H,,S",,,,
"BOM00026850","2021-02-04",,,,,"-4.7","H,,S",,,,
"BOM00026850","2021-02-05",,,"290.0",",,S","-8.7","H,,S",,,"-10.2",",I,S"
"BOM00026850","2021-02-06","0.0","B,,S","300.0",",,S","-15.2","H,,S","-12.5",",I,S",,
"BOM00026850","2021-02-07",,,"300.0",",,S","-19.8","H,,S","-12.7",",,S","-26.1",",,S"
"BOM00026850","2021-02-08",,,"300.0",",,S","-16.1","H,,S",,,"-23.9",",,S"
"BOM00026850","2021-02-09",,,"320.0",",,S","-10.6","H,,S",,,"-12.1",",,S"
"BOM00026850","2021-02-13",,,,,"-9.1","H,,S",,,,
"BOM00026850","2021-02-14","0.5","B,,S","310.0",",,S","-5.6","H,,S","-2.5",",,S","-9.7",",,S"
"BOM00026850","2021-02-15","0.3","B,,S","320.0",",,S","-9.9","H,,S","-7.5",",,S",,
"BOM00026850","2021-02-16",,,"320.0",",,S","-12.1","H,,S","-5.1",",,S","-23.3",",,S"
"BOM00026850","2021-02-17",,,"310.0",",,S","-6.4","H,,S","-3.3",",,S",,
"BOM00026850","2021-02-18","0.5","B,,S","320.0",",,S","-15.8","H,,S","-10.1",",,S",,
"BOM00026850","2021-02-19",,,"320.0",",,S","-19.0","H,,S",,,"-23.5",",,S"
"BOM00026850","2021-02-22",,,"290.0",",,S","1.8","H,,S","8.9",",,S","-4.6",",,S"
"BOM00026850","2021-02-23",,,"269.0",",,S","-1.2","H,,S",,,"-3.5",",,S"
"BOM00026850","2021-02-24",,,,,"2.7","H,,S","6.0",",,S",,
"BOM00026850","2021-02-25",,,"231.0",",,S","6.2","H,,S","11.4",",,S","0.7",",,S"
"BOM00026850","2021-02-26",,,"150.0",",,S","5.4","H,,S","8.9",",,S","1.3",",,S"
"BOM00026850","2021-02-27",,,,,"1.9","H,,S","2.7",",,S",,
"BOM00026850","2021-02-28",,,"51.0",",,S","1.1","H,,S","2.8",",,S","-0.8",",,S"
"BOM00026850","2021-03-01",,,"51.0",",,S","2.1","H,,S","5.2",",,S","-0.1",",,S"
"BOM00026850","2021-03-02",,,"41.0",",,S","2.8","H,,S","6.2",",,S","0.8",",,S"
"BOM00026850","2021-03-03",,,"20.0",",,S","1.4","H,,S","6.3",",,S","-1.8",",,S"
"BOM00026850","2021-03-04",,,"10.0",",,S","-0.3","H,,S","0.7",",,S",,
"BOM00026850","2021-03-05",,,"10.0",",,S","-3.4","H,,S","0.6",",,S","-9.2",",,S"
"BOM00026850","2021-03-06",,,"10.0",",,S","-2.2","H,,S","0.4",",,S","-9.1",",,S"
"BOM00026850","2021-03-07",,,,,"-0.7","H,,S","2.6",",,S",,
"BOM00026850","2021-03-08","1.0","B,,S","20.0",",,S","-4.3","H,,S","-2.7",",,S",,
"BOM00026850","2021-03-09",,,"30.0",",,S","-5.7","H,,S","-1.7",",,S",,
"BOM00026850","2021-03-10",,,"10.0",",,S","-5.7","H,,S","1.1",",,S","-12.9",",,S"
"BOM00026850","2021-03-11",,,"10.0",",,S","-4.6","H,,S","0.8",",,S","-12.5",",,S"
"BOM00026850","2021-03-12","6.1","B,,S","20.0",",,S","-0.7","H,,S",,,"-3.5",",,S"
"BOM00026850","2021-03-13",,,"30.0",",,S","1.5","H,,S","4.4",",,S","-1.3",",,S"
