"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BOM00026850","MINSK, BO","2021-01-01","0.79","34","36",
"BOM00026850","MINSK, BO","2021-01-02",,"31",,"30"
"BOM00026850","MINSK, BO","2021-01-03","0.15","32","33","31"
"BOM00026850","MINSK, BO","2021-01-04","0.09","33","34","33"
"BOM00026850","MINSK, BO","2021-01-05",,"32","34",
"BOM00026850","MINSK, BO","2021-01-06","0.07","30","30","29"
"BOM00026850","MINSK, BO","2021-01-07","0.12","31","31","30"
"BOM00026850","MINSK, BO","2021-01-08","0.51","29",,
"BOM00026850","MINSK, BO","2021-01-09","0.24","27","29","26"
"BOM00026850","MINSK, BO","2021-01-10","0.00","26",,"25"
"BOM00026850","MINSK, BO","2021-01-11",,"26","28","23"
"BOM00026850","MINSK, BO","2021-01-12",,"27",,"21"
"BOM00026850","MINSK, BO","2021-01-13",,"26",,
"BOM00026850","MINSK, BO","2021-01-14","0.07","17",,
"BOM00026850","MINSK, BO","2021-01-15","0.08","4",,
"BOM00026850","MINSK, BO","2021-01-16","0.01","-5","0",
"BOM00026850","MINSK, BO","2021-01-17",,"-3","4","-13"
"BOM00026850","MINSK, BO","2021-01-18",,"-3","10","-12"
"BOM00026850","MINSK, BO","2021-01-19","0.02","12","18","-2"
"BOM00026850","MINSK, BO","2021-01-20","0.01","10",,"-1"
"BOM00026850","MINSK, BO","2021-01-21",,"30","34","13"
"BOM00026850","MINSK, BO","2021-01-22",,"30","35","27"
"BOM00026850","MINSK, BO","2021-01-23",,"35","43","28"
"BOM00026850","MINSK, BO","2021-01-24",,"33","36","31"
"BOM00026850","MINSK, BO","2021-01-25","0.11","35","37",
"BOM00026850","MINSK, BO","2021-01-26","1.26","34","39",
"BOM00026850","MINSK, BO","2021-01-27","0.39","32","33","31"
"BOM00026850","MINSK, BO","2021-01-28",,"30",,
"BOM00026850","MINSK, BO","2021-01-29",,"25",,"25"
"BOM00026850","MINSK, BO","2021-01-30",,"25","27",
"BOM00026850","MINSK, BO","2021-01-31","0.02","26","28","24"
"BOM00026850","MINSK, BO","2021-02-01",,"18","26",
"BOM00026850","MINSK, BO","2021-02-02",,"17",,"3"
"BOM00026850","MINSK, BO","2021-02-03",,"31",,
"BOM00026850","MINSK, BO","2021-02-04",,"24",,
"BOM00026850","MINSK, BO","2021-02-05",,"16",,"14"
"BOM00026850","MINSK, BO","2021-02-06","0.00","5","9",
"BOM00026850","MINSK, BO","2021-02-07",,"-4","9","-15"
"BOM00026850","MINSK, BO","2021-02-08",,"3",,"-11"
"BOM00026850","MINSK, BO","2021-02-09",,"13",,"10"
"BOM00026850","MINSK, BO","2021-02-13",,"16",,
"BOM00026850","MINSK, BO","2021-02-14","0.02","22","27","15"
"BOM00026850","MINSK, BO","2021-02-15","0.01","14","18",
"BOM00026850","MINSK, BO","2021-02-16",,"10","23","-10"
"BOM00026850","MINSK, BO","2021-02-17",,"20","26",
"BOM00026850","MINSK, BO","2021-02-18","0.02","4","14",
"BOM00026850","MINSK, BO","2021-02-19",,"-2",,"-10"
"BOM00026850","MINSK, BO","2021-02-22",,"35","48","24"
"BOM00026850","MINSK, BO","2021-02-23",,"30",,"26"
"BOM00026850","MINSK, BO","2021-02-24",,"37","43",
"BOM00026850","MINSK, BO","2021-02-25",,"43","53","33"
"BOM00026850","MINSK, BO","2021-02-26",,"42","48","34"
"BOM00026850","MINSK, BO","2021-02-27",,"35","37",
"BOM00026850","MINSK, BO","2021-02-28",,"34","37","31"
"BOM00026850","MINSK, BO","2021-03-01",,"36","41","32"
"BOM00026850","MINSK, BO","2021-03-02",,"37","43","33"
"BOM00026850","MINSK, BO","2021-03-03",,"35","43","29"
"BOM00026850","MINSK, BO","2021-03-04",,"31","33",
"BOM00026850","MINSK, BO","2021-03-05",,"26","33","15"
"BOM00026850","MINSK, BO","2021-03-06",,"28","33","16"
"BOM00026850","MINSK, BO","2021-03-07",,"31","37",
"BOM00026850","MINSK, BO","2021-03-08","0.04","24","27",
"BOM00026850","MINSK, BO","2021-03-09",,"22","29",
"BOM00026850","MINSK, BO","2021-03-10",,"22","34","9"
"BOM00026850","MINSK, BO","2021-03-11",,"24","33","9"
"BOM00026850","MINSK, BO","2021-03-12","0.24","31",,"26"
"BOM00026850","MINSK, BO","2021-03-13",,"35","40","30"
"BOM00026850","MINSK, BO","2021-03-14","0.08","39","46","34"
"BOM00026850","MINSK, BO","2021-03-15",,"36","45",
"BOM00026850","MINSK, BO","2021-03-16",,"32","38","25"
"BOM00026850","MINSK, BO","2021-03-17",,"34",,"33"
"BOM00026850","MINSK, BO","2021-03-18",,"34","38",
"BOM00026850","MINSK, BO","2021-03-19","0.06","30","36","27"
"BOM00026850","MINSK, BO","2021-03-20","0.00","29","35","21"
"BOM00026850","MINSK, BO","2021-03-21",,"29","31","26"
"BOM00026850","MINSK, BO","2021-03-22","0.03","29","36","22"
"BOM00026850","MINSK, BO","2021-03-23",,"30","39","14"
"BOM00026850","MINSK, BO","2021-03-24",,"30","45","16"
"BOM00026850","MINSK, BO","2021-03-25",,"36","47","20"
"BOM00026850","MINSK, BO","2021-03-26",,"42","54",
"BOM00026850","MINSK, BO","2021-03-27",,"40","56","25"
"BOM00026850","MINSK, BO","2021-03-28",,"37","43","31"
"BOM00026850","MINSK, BO","2021-03-29",,"40","51","26"
"BOM00026850","MINSK, BO","2021-03-30","0.03","46","50","34"
"BOM00026850","MINSK, BO","2021-03-31",,"53","62",
"BOM00026850","MINSK, BO","2021-04-01",,"48","62",
"BOM00026850","MINSK, BO","2021-04-02",,"38","45",
"BOM00026850","MINSK, BO","2021-04-03",,"37","45","31"
"BOM00026850","MINSK, BO","2021-04-04",,"36","46",
"BOM00026850","MINSK, BO","2021-04-05",,"42","51","25"
"BOM00026850","MINSK, BO","2021-04-06",,"38",,"32"
"BOM00026850","MINSK, BO","2021-04-07","0.09","34","41",
"BOM00026850","MINSK, BO","2021-04-08","0.15","32","40","26"
"BOM00026850","MINSK, BO","2021-04-09",,"38","48","23"
"BOM00026850","MINSK, BO","2021-04-10",,"47","59","35"
"BOM00026850","MINSK, BO","2021-04-11",,"54","66","43"
"BOM00026850","MINSK, BO","2021-04-12",,"54","65","36"
"BOM00026850","MINSK, BO","2021-04-13",,"48","65","32"
"BOM00026850","MINSK, BO","2021-04-17",,"49","58","39"
"BOM00026850","MINSK, BO","2021-04-19",,"46","58","31"
