"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-01",,"47","53","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-02",,"48","55","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-03",,"49","55","42",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-04",,"49","54","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-05",,"45","54","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-06",,"49","57","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-07",,"47","51","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-08",,"48","61","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-09",,"47","53","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-10",,"49","57","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-11",,"47","57","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-12",,"52","59","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-13",,"56","65","50",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-14",,"56","63","50",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-15",,"60","66","52",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-16",,"63","72","57",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-17",,"62","68","55",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-18",,"61","69","55",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-19",,"52","60","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-20",,"55","64","49",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-21",,"54","60","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-22",,"44","47","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-23",,"44","51","39",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-24",,"41","46","37",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-25",,"39","46","35",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-26",,"39","45","34",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-27",,"39","44","35",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-28",,"42","45","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-29",,"42","47","38",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-30",,"46","51","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-01-31",,"51","58","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-01",,"56","64","52",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-02",,"50","54","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-03",,"46","55","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-04",,"48","56","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-05",,"53","60","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-06",,"55","62","49",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-07",,"54","60","49",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-08",,"53","61","48",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-09",,"54","63","48",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-10",,"54","60","50",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-11",,"51","58","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-12",,"49","57","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-13",,"50","57","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-14",,"47","55","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-15",,"51","60","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-16",,"48","57","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-17",,"50","57","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-18",,"51","58","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-19",,"51","60","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-20",,"47","53","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-21",,"51","57","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-22",,"54","61","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-23",,"62","70","54",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-24",,"56","64","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-25",,"53","61","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-26",,"54","61","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-27",,"51","57","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-02-28",,"51","58","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-01",,"56","65","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-02",,"56","63","48",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-03",,"53","65","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-04",,"51","62","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-05",,"54","63","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-06",,"49","58","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-07",,"51","60","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-08",,"46","55","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-09",,"44","51","39",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-10",,"39","48","35",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-11",,"41","48","35",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-12",,"49","58","39",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-13",,"51","59","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-14",,"44","55","37",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-15",,"40","44","36",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-16",,"45","53","38",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-17",,"47","53","38",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-18",,"51","60","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-19",,"49","53","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-20",,"47","56","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-21",,"51","60","44",
